PLAYER_NAME,iso_freq,iso_ppp,tr_freq,tr_ppp,prb_freq,prb_ppp,prr_freq,prr_ppp,pu_freq,pu_ppp,su_freq,su_ppp,ho_freq,ho_ppp,cut_freq,cut_ppp,os_freq,os_ppp,putback_freq,putback_ppp,misc_freq,misc_ppp
E'Twaun Moore,0.034,0.619,0.224,1.101,0.128,0.684,0.016,1.0,0.0,0.0,0.211,1.046,0.091,1.089,0.062,1.421,0.159,0.99,0.031,1.421,0.037,0.913
Ed Davis,0.0,0.0,0.041,1.556,0.0,0.0,0.226,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.282,1.258,0.0,0.0,0.314,1.217,0.118,0.212
Elfrid Payton,0.049,0.63,0.209,0.81,0.297,0.691,0.0,0.0,0.0,0.0,0.192,1.028,0.058,0.75,0.063,1.029,0.0,0.0,0.043,1.0,0.079,0.455
Elie Okobo,0.069,0.538,0.138,1.173,0.397,0.68,0.0,0.0,0.0,0.0,0.212,0.788,0.058,1.0,0.032,1.5,0.0,0.0,0.0,0.0,0.063,0.417
Emmanuel Mudiay,0.079,0.816,0.18,0.896,0.341,0.887,0.0,0.0,0.028,1.0,0.166,1.0,0.089,0.918,0.024,1.13,0.021,0.8,0.023,1.045,0.043,0.683
Enes Kanter,0.022,0.615,0.045,1.63,0.0,0.0,0.179,1.093,0.308,0.876,0.051,0.645,0.0,0.0,0.096,1.397,0.0,0.0,0.232,1.107,0.056,0.618
Eric Bledsoe,0.077,0.947,0.292,1.036,0.259,0.991,0.0,0.0,0.01,1.417,0.189,0.962,0.036,1.133,0.027,1.455,0.032,1.0,0.028,1.086,0.048,0.617
Eric Gordon,0.073,1.0,0.206,0.996,0.171,0.898,0.017,1.056,0.0,0.0,0.324,1.139,0.072,0.859,0.028,1.433,0.071,0.883,0.0,0.0,0.032,0.571
Ersan Ilyasova,0.0,0.0,0.137,1.381,0.0,0.0,0.122,1.036,0.037,0.647,0.283,0.862,0.024,1.182,0.139,1.109,0.03,0.786,0.139,0.984,0.078,0.611
Evan Fournier,0.042,0.815,0.109,1.099,0.301,0.761,0.0,0.0,0.0,0.0,0.188,1.111,0.121,0.949,0.033,1.372,0.14,0.978,0.019,0.92,0.043,0.764
Evan Turner,0.082,1.02,0.118,0.817,0.195,0.667,0.0,0.0,0.198,1.042,0.155,0.688,0.05,0.8,0.068,1.268,0.0,0.0,0.03,1.056,0.085,0.333
Frank Jackson,0.036,0.579,0.224,1.093,0.152,0.863,0.0,0.0,0.0,0.0,0.285,0.853,0.08,0.952,0.072,1.105,0.082,1.023,0.023,1.167,0.04,0.571
Frank Kaminsky,0.0,0.0,0.078,1.133,0.0,0.0,0.258,1.071,0.065,1.36,0.346,1.0,0.0,0.0,0.086,1.455,0.0,0.0,0.052,1.1,0.057,0.591
Frank Mason,0.069,0.75,0.273,0.905,0.377,0.782,0.0,0.0,0.0,0.0,0.117,0.963,0.0,0.0,0.043,1.4,0.0,0.0,0.0,0.0,0.091,0.429
Frank Ntilikina,0.06,0.762,0.114,0.6,0.338,0.714,0.0,0.0,0.0,0.0,0.256,0.733,0.111,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.45
Fred VanVleet,0.078,0.982,0.199,1.199,0.348,0.78,0.0,0.0,0.0,0.0,0.212,1.084,0.036,0.577,0.023,1.235,0.045,1.242,0.0,0.0,0.051,0.514
Furkan Korkmaz,0.0,0.0,0.194,1.0,0.066,0.895,0.0,0.0,0.0,0.0,0.399,1.052,0.115,1.061,0.035,1.2,0.063,0.611,0.038,1.273,0.076,0.455
Garrett Temple,0.032,1.067,0.209,1.235,0.109,0.647,0.0,0.0,0.0,0.0,0.334,0.968,0.07,0.818,0.074,1.343,0.079,1.027,0.0,0.0,0.07,0.364
Gary Clark,0.0,0.0,0.136,1.227,0.0,0.0,0.093,1.2,0.0,0.0,0.636,0.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Harris,0.038,0.931,0.178,0.985,0.161,0.951,0.0,0.0,0.0,0.0,0.204,0.955,0.266,0.98,0.031,1.292,0.05,0.789,0.013,0.9,0.054,0.805
George Hill,0.086,0.857,0.168,0.982,0.226,1.041,0.0,0.0,0.0,0.0,0.242,0.911,0.09,1.5,0.067,1.545,0.037,1.083,0.04,1.154,0.058,0.421
Gerald Green,0.035,0.652,0.152,1.13,0.068,0.844,0.029,0.632,0.0,0.0,0.431,1.088,0.056,1.378,0.02,1.846,0.143,0.926,0.02,1.077,0.041,0.37
Giannis Antetokounmpo,0.155,0.946,0.256,1.139,0.076,1.124,0.05,1.396,0.12,0.986,0.114,1.005,0.018,1.394,0.08,1.421,0.023,0.905,0.06,1.315,0.048,0.724
Glenn Robinson III,0.0,0.0,0.22,1.128,0.047,1.0,0.0,0.0,0.0,0.0,0.402,0.849,0.093,0.35,0.136,1.379,0.0,0.0,0.0,0.0,0.0,0.0
Goran Dragic,0.057,1.097,0.186,1.03,0.336,0.749,0.0,0.0,0.0,0.0,0.156,0.976,0.107,0.879,0.039,1.0,0.044,1.083,0.0,0.0,0.048,0.615
Gordon Hayward,0.03,0.68,0.173,1.385,0.265,0.872,0.0,0.0,0.013,1.273,0.202,1.054,0.069,0.737,0.053,1.25,0.107,0.852,0.028,0.87,0.051,0.619
Gorgui Dieng,0.044,0.571,0.066,1.156,0.0,0.0,0.241,1.026,0.083,0.85,0.261,1.056,0.0,0.0,0.114,1.236,0.0,0.0,0.093,1.156,0.093,0.622
Grayson Allen,0.0,0.0,0.147,1.171,0.282,0.791,0.0,0.0,0.0,0.0,0.307,1.014,0.097,0.652,0.0,0.0,0.08,0.737,0.0,0.0,0.0,0.0
Greg Monroe,0.0,0.0,0.054,1.25,0.0,0.0,0.229,0.922,0.224,0.56,0.054,0.5,0.0,0.0,0.117,1.154,0.0,0.0,0.224,1.0,0.076,0.294
Hamidou Diallo,0.0,0.0,0.303,1.175,0.072,0.8,0.0,0.0,0.0,0.0,0.264,0.582,0.0,0.0,0.13,1.222,0.0,0.0,0.135,0.786,0.0,0.0
Harrison Barnes,0.14,0.825,0.194,1.342,0.109,0.777,0.029,1.16,0.133,0.868,0.251,1.116,0.019,0.875,0.04,0.912,0.136,1.009,0.022,1.105,0.027,1.043
Harry Giles III,0.1,0.63,0.093,1.093,0.0,0.0,0.204,1.043,0.233,0.71,0.065,0.533,0.0,0.0,0.107,1.347,0.0,0.0,0.115,1.245,0.074,0.206
Hassan Whiteside,0.015,0.462,0.068,1.017,0.0,0.0,0.208,1.291,0.157,0.73,0.036,0.871,0.0,0.0,0.153,1.224,0.0,0.0,0.258,1.071,0.104,0.462
Henry Ellenson,0.0,0.0,0.144,1.6,0.0,0.0,0.0,0.0,0.154,0.438,0.433,0.844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ian Clark,0.0,0.0,0.203,0.804,0.196,0.843,0.0,0.0,0.0,0.0,0.258,1.009,0.082,0.811,0.042,1.263,0.132,0.733,0.0,0.0,0.053,0.75
Ian Mahinmi,0.0,0.0,0.065,1.4,0.0,0.0,0.181,0.929,0.0,0.0,0.097,0.4,0.0,0.0,0.232,1.111,0.0,0.0,0.219,0.882,0.135,0.571
Iman Shumpert,0.067,1.074,0.245,1.04,0.136,0.8,0.0,0.0,0.0,0.0,0.329,1.075,0.047,0.368,0.04,1.25,0.057,0.696,0.0,0.0,0.047,0.421
Isaiah Briscoe,0.083,1.0,0.127,1.13,0.409,0.622,0.0,0.0,0.0,0.0,0.232,0.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.3
Isaiah Canaan,0.098,0.938,0.153,1.0,0.282,0.826,0.0,0.0,0.0,0.0,0.319,0.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Thomas,0.0,0.0,0.225,1.0,0.341,0.5,0.0,0.0,0.0,0.0,0.155,0.9,0.124,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ish Smith,0.067,0.667,0.162,0.904,0.485,0.89,0.0,0.0,0.0,0.0,0.173,1.01,0.04,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.214
Ivan Rabb,0.043,0.583,0.082,1.087,0.0,0.0,0.183,1.078,0.129,1.083,0.122,0.706,0.0,0.0,0.215,1.217,0.0,0.0,0.14,1.256,0.079,0.455
Ivica Zubac,0.0,0.0,0.083,1.381,0.0,0.0,0.218,1.107,0.144,0.919,0.0,0.0,0.0,0.0,0.284,1.425,0.0,0.0,0.198,0.961,0.078,0.35
J.J. Barea,0.074,0.556,0.072,1.343,0.542,0.936,0.0,0.0,0.0,0.0,0.088,0.698,0.117,0.667,0.0,0.0,0.022,0.636,0.0,0.0,0.061,0.233
JJ Redick,0.0,0.0,0.137,1.18,0.1,1.057,0.027,1.242,0.0,0.0,0.156,1.053,0.324,1.101,0.038,1.191,0.153,1.086,0.0,0.0,0.054,1.015
JR Smith,0.0,0.0,0.179,0.765,0.189,0.611,0.0,0.0,0.0,0.0,0.179,0.882,0.147,1.214,0.0,0.0,0.158,0.6,0.0,0.0,0.0,0.0
JaKarr Sampson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309,1.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JaMychal Green,0.024,0.4,0.128,1.48,0.0,0.0,0.068,1.214,0.137,0.786,0.261,1.056,0.0,0.0,0.166,1.382,0.0,0.0,0.134,1.018,0.102,0.286
JaVale McGee,0.028,0.522,0.124,1.356,0.0,0.0,0.194,1.316,0.089,0.808,0.045,0.486,0.0,0.0,0.265,1.384,0.0,0.0,0.159,1.069,0.088,0.278
Jabari Parker,0.173,0.667,0.164,1.103,0.076,0.778,0.064,0.921,0.078,1.196,0.244,0.91,0.022,1.154,0.076,1.067,0.024,1.143,0.059,1.435,0.037,0.5
Jae Crowder,0.01,0.6,0.189,1.131,0.039,0.579,0.03,0.931,0.0,0.0,0.439,1.066,0.069,0.866,0.059,1.035,0.066,0.641,0.034,0.848,0.055,0.755
