PLAYER_NAME,iso_freq,iso_ppp,iso_poss,tr_freq,tr_ppp,tr_poss,prb_freq,prb_ppp,prb_poss,prr_freq,prr_ppp,prr_poss,pu_freq,pu_ppp,pu_poss,su_freq,su_ppp,su_poss,ho_freq,ho_ppp,ho_poss,cut_freq,cut_ppp,cut_poss,os_freq,os_ppp,os_poss,putback_freq,putback_ppp,putback_poss,misc_freq,misc_ppp,misc_poss
Michael Carter-Williams,0.074,0.567,31.499999999999996,0.17,0.913,67.5,0.277,0.741,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.232,0.83,94.5,0.064,0.538,27.0,0.042,1.118,18.0,0.025,0.9,9.0,0.025,0.9,9.0,0.074,0.1,31.499999999999996
Michael Kidd-Gilchrist,0.039,0.4,32.4,0.193,1.245,145.8,0.084,0.734,64.8,0.0,0.0,0.0,0.045,1.059,32.4,0.314,0.841,243.0,0.047,0.778,32.4,0.164,1.2,121.5,0.0,0.0,0.0,0.072,1.182,56.699999999999996,0.035,0.593,24.3
Mike Conley,0.1,1.0,131.1,0.109,0.979,144.9,0.421,1.007,552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117,1.191,151.8,0.082,1.206,110.4,0.015,1.684,20.7,0.087,1.336,110.4,0.008,0.8,6.9,0.061,0.734,75.9
Mike Dunleavy,0.0,0.0,0.0,0.255,1.0,27.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265,1.463,42.0,0.097,0.667,15.0,0.09,1.571,15.0,0.277,1.163,42.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Muscala,0.0,0.0,0.0,0.1,1.262,42.0,0.0,0.0,0.0,0.212,1.056,91.0,0.0,0.0,0.0,0.276,1.086,119.0,0.0,0.0,0.0,0.16,1.134,70.0,0.026,1.182,14.0,0.107,1.0,42.0,0.095,0.5,42.0
Mike Scott,0.0,0.0,0.0,0.141,0.7,10.799999999999999,0.0,0.0,0.0,0.169,0.583,12.6,0.0,0.0,0.0,0.254,0.167,18.0,0.0,0.0,0.0,0.155,1.091,10.799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miles Plumlee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294,0.8,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,1.455,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mindaugas Kuzminskas,0.047,0.429,20.4,0.19,0.918,88.4,0.069,0.581,34.0,0.0,0.0,0.0,0.031,1.071,13.600000000000001,0.359,0.994,163.2,0.027,1.0,13.600000000000001,0.112,1.4,47.599999999999994,0.027,1.0,13.600000000000001,0.067,1.033,27.200000000000003,0.06,0.444,27.200000000000003
Mirza Teletovic,0.0,0.0,0.0,0.203,0.979,98.0,0.0,0.0,0.0,0.053,1.12,28.0,0.0,0.0,0.0,0.433,0.922,203.0,0.106,1.06,49.0,0.034,1.5,14.0,0.091,0.86,42.0,0.0,0.0,0.0,0.036,0.353,14.0
Monta Ellis,0.052,0.821,37.0,0.173,1.101,125.8,0.371,0.744,273.8,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.919,162.8,0.051,0.895,37.0,0.02,1.467,14.8,0.06,0.667,44.4,0.0,0.0,0.0,0.05,0.243,37.0
