PLAYER_NAME,total_poss,iso_ppp,iso_poss,tr_ppp,tr_poss,prb_ppp,prb_poss,prr_ppp,prr_poss,pu_ppp,pu_poss,su_ppp,su_poss,ho_ppp,ho_poss,cut_ppp,cut_poss,os_ppp,os_poss,putback_ppp,putback_poss,misc_ppp,misc_poss
Ian Mahinmi,639.0,0.667,14.200000000000001,1.373,49.699999999999996,0.0,0.0,1.125,134.9,0.8,71.0,0.673,49.699999999999996,0.0,0.0,1.161,191.70000000000002,0.0,0.0,1.203,56.800000000000004,0.479,71.0
Iman Shumpert,372.6000000000001,0.7,32.4,1.148,59.400000000000006,0.746,59.400000000000006,0.0,0.0,0.0,0.0,0.844,162.0,0.385,10.8,0.0,0.0,0.842,21.6,0.0,0.0,0.333,27.0
Isaiah Canaan,870.1,0.722,100.10000000000001,1.081,161.70000000000002,0.758,177.1,0.0,0.0,0.0,0.0,1.074,246.4,1.013,77.0,0.75,23.099999999999998,1.061,46.199999999999996,0.0,0.0,0.694,38.5
Isaiah Thomas,1836.8,0.966,147.6,1.079,418.2,0.857,565.8000000000001,0.0,0.0,0.0,0.0,1.078,246.0,0.93,172.20000000000002,1.219,32.800000000000004,1.051,155.79999999999998,1.235,16.400000000000002,0.914,82.0
Ish Smith,905.0,0.621,95.0,0.945,180.0,0.71,405.0,0.0,0.0,0.0,0.0,0.992,125.0,0.895,40.0,0.0,0.0,0.833,10.0,0.75,10.0,0.6,40.0
J.J. Barea,843.5999999999999,0.688,74.0,1.041,74.0,0.87,451.4,0.0,0.0,0.0,0.0,1.243,148.0,0.955,44.4,1.6,7.4,0.867,14.8,0.0,0.0,0.375,29.6
JJ Hickson,152.0,0.0,0.0,1.0,14.0,0.0,0.0,1.095,42.0,0.786,14.0,0.462,14.0,0.0,0.0,0.973,38.0,0.0,0.0,1.0,18.0,0.182,12.0
JJ Redick,1035.0,0.846,22.5,1.307,127.5,0.86,60.0,0.0,0.0,0.0,0.0,1.52,172.5,0.959,195.0,1.0,15.0,1.124,405.0,0.0,0.0,1.184,37.5
JR Smith,939.4,0.733,123.2,1.139,146.29999999999998,0.676,77.0,0.0,0.0,0.417,15.4,1.183,315.7,1.14,46.199999999999996,0.941,15.4,1.077,154.0,0.0,0.0,0.568,46.199999999999996
JaKarr Sampson,291.40000000000003,0.231,14.1,0.9,70.5,0.471,18.8,0.0,0.0,0.0,0.0,0.551,79.89999999999999,1.231,28.2,1.083,47.0,0.0,0.0,1.05,18.8,0.563,14.1
JaMychal Green,631.8,0.762,23.4,1.164,54.599999999999994,0.0,0.0,0.894,93.6,0.841,85.80000000000001,0.763,117.0,0.0,0.0,1.178,101.4,0.0,0.0,1.009,117.0,0.429,39.0
JaVale McGee,159.79999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.154,37.400000000000006,0.385,13.600000000000001,1.0,10.2,0.0,0.0,1.3,51.0,0.0,0.0,0.941,34.0,0.214,13.600000000000001
Jabari Parker,1117.2,0.716,98.8,1.212,205.20000000000002,0.701,68.4,0.727,53.199999999999996,1.0,76.0,0.813,250.79999999999998,0.6,22.8,1.182,190.0,1.0,30.400000000000002,1.2,68.4,0.48,53.199999999999996
Jae Crowder,1000.1,0.667,21.9,1.164,204.39999999999998,0.781,73.0,1.237,36.5,0.943,36.5,1.027,328.5,0.985,65.7,1.464,58.400000000000006,1.041,73.0,1.086,36.5,0.697,65.7
